x,f(x)
-1,-0.6420926160
-0.9,-0.7935511479
-0.8,-0.9712146006
-0.7,-1.1872418322
-0.6,-1.4616959470
-0.5,-1.8304877217
-0.4,-2.3652224201
-0.3,-3.2327281433
-0.2,-4.9331548753
-0.1,-9.9666444182
0.1,9.9666444282
0.2,4.9331548753
0.3,3.2327281433
0.4,2.3652224201
0.5,1.8304877217
0.6,1.4616959470
0.7,1.1872418322
0.8,0.9712146006
0.9,0.7935511479
1.0,0.6420926160
